g0a,g0b,g1a,g1b,h0a,h0b,h1a,h1b
-0.006181881892,0.05113040528,-0.05113040528,-0.006181881892,0.05113040528,-0.006181881892,-0.006181881892,-0.05113040528
-0.001689681273,-0.01397537025,-0.01397537025,0.001689681273,-0.01397537025,-0.001689681273,0.001689681273,-0.01397537025
-0.1002312195,-0.1098360517,0.1098360517,-0.1002312195,-0.1098360517,-0.1002312195,-0.1002312195,0.1098360517
0.0008736226952,0.2638395611,0.2638395611,-0.0008736226952,0.2638395611,0.0008736226952,-0.0008736226952,0.2638395611
0.5636557101,0.7666284678,-0.7666284678,0.5636557101,0.7666284678,0.5636557101,0.5636557101,-0.7666284678
0.7666284678,0.5636557101,0.5636557101,-0.7666284678,0.5636557101,0.7666284678,-0.7666284678,0.5636557101
0.2638395611,0.0008736226952,-0.0008736226952,0.2638395611,0.0008736226952,0.2638395611,0.2638395611,-0.0008736226952
-0.1098360517,-0.1002312195,-0.1002312195,0.1098360517,-0.1002312195,-0.1098360517,0.1098360517,-0.1002312195
-0.01397537025,-0.001689681273,0.001689681273,-0.01397537025,-0.001689681273,-0.01397537025,-0.01397537025,0.001689681273
0.05113040528,-0.006181881892,-0.006181881892,-0.05113040528,-0.006181881892,0.05113040528,-0.05113040528,-0.006181881892
