g0a,g0b,g1a,g1b,h0a,h0b,h1a,h1b
0.002411869457,-0.00228412744,0.00228412744,0.002411869457,-0.00228412744,0.002411869457,0.002411869457,0.00228412744
0.001277558654,0.001209894163,0.001209894163,-0.001277558654,0.001209894163,0.001277558654,-0.001277558654,0.001209894163
-0.002576174307,-0.01183479452,0.01183479452,-0.002576174307,-0.01183479452,-0.002576174307,-0.002576174307,0.01183479452
-0.006628794612,0.001283456999,0.001283456999,0.006628794612,0.001283456999,-0.006628794612,0.006628794612,0.001283456999
0.03152637712,0.04436522161,-0.04436522161,0.03152637712,0.04436522161,0.03152637712,0.03152637712,-0.04436522161
0.01815649395,-0.0532761088,-0.0532761088,-0.01815649395,-0.0532761088,0.01815649395,-0.01815649395,-0.0532761088
-0.1201885447,-0.1133058864,0.1133058864,-0.1201885447,-0.1133058864,-0.1201885447,-0.1201885447,0.1133058864
0.02455015243,0.2809028632,0.2809028632,-0.02455015243,0.2809028632,0.02455015243,-0.02455015243,0.2809028632
0.5658080674,0.7528160381,-0.7528160381,0.5658080674,0.7528160381,0.5658080674,0.5658080674,-0.7528160381
0.7528160381,0.5658080674,0.5658080674,-0.7528160381,0.5658080674,0.7528160381,-0.7528160381,0.5658080674
0.2809028632,0.02455015243,-0.02455015243,0.2809028632,0.02455015243,0.2809028632,0.2809028632,-0.02455015243
-0.1133058864,-0.1201885447,-0.1201885447,0.1133058864,-0.1201885447,-0.1133058864,0.1133058864,-0.1201885447
-0.0532761088,0.01815649395,-0.01815649395,-0.0532761088,0.01815649395,-0.0532761088,-0.0532761088,-0.01815649395
0.04436522161,0.03152637712,0.03152637712,-0.04436522161,0.03152637712,0.04436522161,-0.04436522161,0.03152637712
0.001283456999,-0.006628794612,0.006628794612,0.001283456999,-0.006628794612,0.001283456999,0.001283456999,0.006628794612
-0.01183479452,-0.002576174307,-0.002576174307,0.01183479452,-0.002576174307,-0.01183479452,0.01183479452,-0.002576174307
0.001209894163,0.001277558654,-0.001277558654,0.001209894163,0.001277558654,0.001209894163,0.001209894163,-0.001277558654
-0.00228412744,0.002411869457,0.002411869457,0.00228412744,0.002411869457,-0.00228412744,0.00228412744,0.002411869457
