g0a,g0b,g1a,g1b,h0a,h0b,h1a,h1b
0.002430349945,-0.004761611938,0.004761611938,0.002430349945,-0.004761611938,0.002430349945,0.002430349945,0.004761611938
-0.0002276522059,-0.0004460227893,-0.0004460227893,0.0002276522059,-0.0004460227893,-0.0002276522059,0.0002276522059,-0.0004460227893
-0.007202677878,-7.14E-05,7.14E-05,-0.007202677878,-7.14E-05,-0.007202677878,-0.007202677878,7.14E-05
0.01849868272,0.03491461231,0.03491461231,-0.01849868272,0.03491461231,0.01849868272,-0.01849868272,0.03491461231
0.02228926327,-0.0372738958,0.0372738958,0.02228926327,-0.0372738958,0.02228926327,0.02228926327,0.0372738958
-0.1125588843,-0.1159114574,-0.1159114574,0.1125588843,-0.1159114574,-0.1125588843,0.1125588843,-0.1159114574
0.01463740596,0.2763686431,-0.2763686431,0.01463740596,0.2763686431,0.01463740596,0.01463740596,-0.2763686431
0.5671344841,0.7563937652,0.7563937652,-0.5671344841,0.7563937652,0.5671344841,-0.5671344841,0.7563937652
0.7563937652,0.5671344841,-0.5671344841,0.7563937652,0.5671344841,0.7563937652,0.7563937652,-0.5671344841
0.2763686431,0.01463740596,0.01463740596,-0.2763686431,0.01463740596,0.2763686431,-0.2763686431,0.01463740596
-0.1159114574,-0.1125588843,0.1125588843,-0.1159114574,-0.1125588843,-0.1159114574,-0.1159114574,0.1125588843
-0.0372738958,0.02228926327,0.02228926327,0.0372738958,0.02228926327,-0.0372738958,0.0372738958,0.02228926327
0.03491461231,0.01849868272,-0.01849868272,0.03491461231,0.01849868272,0.03491461231,0.03491461231,-0.01849868272
-7.14E-05,-0.007202677878,-0.007202677878,7.14E-05,-0.007202677878,-7.14E-05,7.14E-05,-0.007202677878
-0.0004460227893,-0.0002276522059,0.0002276522059,-0.0004460227893,-0.0002276522059,-0.0004460227893,-0.0004460227893,0.0002276522059
-0.004761611938,0.002430349945,0.002430349945,0.004761611938,0.002430349945,-0.004761611938,0.004761611938,0.002430349945
